file,dice,assd,medsam_dice,medsam_assd,sam_dice,sam_assd,dino_medsam_dice,dino_medsam_assd,dino_sam_dice,dino_sam_assd,area,box_ratio,convex_ratio,IRI
covid_1579_X-Ray_chest_COVID-19+infection.png,0.9394424048104275,11.715083565334348,0.9383202747241903,11.973600076314634,0.5908068329434206,100.05187541087804,0.6080139635679839,71.99315112478888,0.5408216446168818,143.55953979492188,382912,0.45806761100524085,0.5804220926372529,0.5328597841682352
covid_1582_X-Ray_chest_COVID-19+infection.png,0.32265736208033885,171.11073266497883,0.9460723833024882,3.914029827853977,0.7608939570882279,18.46876000451655,0.0773907050263513,451.7008361816406,0.07107169421585488,512.2272338867188,37504,0.5180897650195472,0.8302304473911407,0.6449186955547229
covid_1583_X-Ray_chest_COVID-19+infection.png,0.7289062878858015,25.207381898137875,0.6020478115984002,52.85776596966176,0.343472692342878,101.7973363181211,0.23031132210995806,201.299368429056,0.16072094399439035,274.576416015625,86640,0.20574831927085682,0.3089948750503757,0.18516445468252193
covid_1584_X-Ray_chest_COVID-19+infection.png,0.8111075126844539,94.07750962329827,0.949546621631573,6.130015861043583,0.8304368780653758,21.57880455131412,0.3080439592590561,244.7739771456291,0.1786876959566218,341.3959655761719,101104,0.5959458423959494,0.8512945733170547,0.7017313875927363
covid_1585_X-Ray_chest_COVID-19+infection.png,0.9368785223543206,9.837354278187084,0.8510635949177052,18.351724811466493,0.6368964245199549,63.916616605533996,0.4440749326435211,91.03358467576925,0.36571775189102396,191.58673095703125,231520,0.4207427330468047,0.5187483895542286,0.42635186486786525
covid_1586_X-Ray_chest_COVID-19+infection.png,0.9765331525208982,3.9562640380767498,0.9697814548363269,5.242235326878591,0.5962816876108645,142.00818656259406,0.7826971438924435,87.26427094409593,0.5566891451402267,159.33685302734375,398352,0.48677520226700344,0.6168607235050088,0.5408859073098709
covid_1587_X-Ray_chest_COVID-19+infection.png,0.7695346202222431,15.224245528803038,0.8918063355087704,6.121722893247515,0.6470916077557126,21.88488148970959,0.09603660783426701,239.04486083984375,0.0789548990273253,344.4697570800781,42352,0.28645442309383223,0.3622027042051159,0.14021593501687407
covid_1590_X-Ray_chest_COVID-19+infection.png,0.9614707398555237,4.41136885969173,0.7810486909594768,28.236346316277707,0.5503509327802901,57.07062059008274,0.33282666368758457,130.03627014160156,0.24934313085644916,258.9763488769531,147472,0.3316623373702617,0.478909373142859,0.36360768417545947
covid_1591_X-Ray_chest_COVID-19+infection.png,0.9617353498048199,4.136462849231192,0.8272607906132141,23.169011151091272,0.5202158864249677,77.83715349266437,0.3389580432659338,122.40508331468196,0.25220122330105293,233.10861173508493,149184,0.2640924918524393,0.3885597005789952,0.27435494996657334
covid_1592_X-Ray_chest_COVID-19+infection.png,0.9311186321948917,10.618698115388153,0.9303344095496534,11.800761257158916,0.6201454436546228,69.67025921908609,0.4418819188191882,136.95730296474397,0.41547214383239406,226.6123504638672,270672,0.4664884623935557,0.6648179851008383,0.5754295652867271
covid_1595_X-Ray_chest_COVID-19+infection.png,0.6911864120331249,44.79593733941317,0.9113944462565189,9.941905950348954,0.6167755948155669,55.758554810516415,0.323734136017491,169.77886962890625,0.2282880540862858,288.73358154296875,133040,0.376852893105099,0.5549877563960837,0.36382213322046725
covid_1596_X-Ray_chest_COVID-19+infection.png,0.36369990680335507,226.45181694474306,0.9234789100410601,2.676901126890344,0.6362307745841743,22.861820093463656,0.02388124354795612,436.17840576171875,0.019382340746288904,514.6414184570312,10144,0.5977959809063587,0.8642753684928005,0.4508858401668675
covid_1597_X-Ray_chest_COVID-19+infection.png,0.9457202202367215,9.874521857391265,0.9523706799912257,8.759726474585708,0.6786380874044503,63.41768455351591,0.5980846190440726,72.27900475308525,0.5509248642208711,156.49435424804688,393984,0.5240563609591419,0.617300469888145,0.5528147642239097
covid_1598_X-Ray_chest_COVID-19+infection.png,0.9630617378991793,6.745666570678731,0.9661821369747888,6.160356140804545,0.6541993303866729,97.50285496393472,0.5887634735415996,57.039790567398136,0.5438939120965521,169.4517364501953,388080,0.5393678188876025,0.6530639719307693,0.5498660119293332
covid_1600_X-Ray_chest_COVID-19+infection.png,0.3877957007582217,144.35462625387336,0.9105238241109471,4.797709372716745,0.5107069567805504,39.66266277926047,0.04557646103571975,368.8044738769531,0.03793094662304903,464.4545593261719,17120,0.4872911507699314,0.8489957847756013,0.5668942764018502
