file,dice,assd,medsam_dice,medsam_assd,sam_dice,sam_assd,dino_medsam_dice,dino_medsam_assd,dino_sam_dice,dino_sam_assd,area,box_ratio,convex_ratio,IRI
patient0401_4CH_half_sequence_0_ultrasound_heart_left+heart+ventricle.png,0.9173249386873604,10.991897072782555,0.7277743058655477,29.338796163847736,0.8317603459835408,21.507353529125194,0.18204684481648423,270.8163799165964,0.23241483039091135,263.2372741699219,63664,0.7033685768895076,0.9907483056716232,0.8960527690079341
patient0401_4CH_half_sequence_1_ultrasound_heart_left+heart+ventricle.png,0.9165956321095794,11.073958838687224,0.7328866778766151,29.89244357638209,0.8332424942617854,22.641912234398024,0.18225041460814811,279.6693966516018,0.23259787315521255,266.8321228027344,63168,0.7005123428039124,0.9909327644087472,0.8960364831575607
patient0401_4CH_half_sequence_2_ultrasound_heart_left+heart+ventricle.png,0.9109326653897156,11.819951696570511,0.7958005338882588,24.31457026642148,0.8302669693885539,25.222421081640654,0.1783261300249499,276.7187887864679,0.23080705670447701,268.1033630371094,62661,0.6995757508094228,0.9911657004563466,0.8955125794661307
patient0401_4CH_half_sequence_3_ultrasound_heart_left+heart+ventricle.png,0.9085926068969615,12.122616109994654,0.7725311305634324,27.74435035132739,0.8371876691752255,21.175737464686275,0.1761857589369588,283.78030717728944,0.226907436184452,264.2431945800781,62131,0.6910508519820261,0.9909092358973541,0.8949015460275327
patient0401_4CH_half_sequence_4_ultrasound_heart_left+heart+ventricle.png,0.9222235693501455,10.164630783160911,0.7216604385214533,29.377721041294155,0.8344408950653267,20.8721198954796,0.16955907903120324,279.9624179270956,0.2253601431252547,266.0947570800781,61660,0.6951208513708513,0.9916292085139232,0.8943789677814068
patient0401_4CH_half_sequence_5_ultrasound_heart_left+heart+ventricle.png,0.926840902621233,9.457674158944023,0.7867281468961783,26.210595288081095,0.8305126125203777,23.526926384982456,0.1700450530248167,275.5393285801625,0.22440499232218566,268.65203857421875,61159,0.6894728535353535,0.9918184987877756,0.8938475501902085
patient0401_4CH_half_sequence_6_ultrasound_heart_left+heart+ventricle.png,0.9360052016827131,8.081978100799509,0.748405194629625,30.33548585595614,0.8218412483352707,22.258847517023998,0.170279315007784,277.00094997276983,0.22134424842037678,267.5689392089844,60674,0.6860470375395749,0.9909680369771506,0.8932973252874423
patient0401_4CH_half_sequence_7_ultrasound_heart_left+heart+ventricle.png,0.9336106805023886,8.377024960293696,0.7091026916512263,30.346903633446832,0.8191681300969472,25.08927685220064,0.1698229300032825,276.99335471237816,0.22131075175468284,271.3221740722656,60162,0.6854506095476814,0.9918884162627362,0.8924738818864307
patient0401_4CH_half_sequence_8_ultrasound_heart_left+heart+ventricle.png,0.9448238517428938,6.793147237870493,0.819559340143433,22.615120958375933,0.8214001464455127,23.93484357131134,0.1660523436842548,287.64674327385154,0.21941137566137567,270.1034851074219,59715,0.6803577532186397,0.9916058485067377,0.8919132523815102
patient0401_4CH_half_sequence_9_ultrasound_heart_left+heart+ventricle.png,0.9344879336773593,8.174139148089653,0.6843744207599629,32.57946108258264,0.8192329494715753,23.365148560046688,0.1636242223823387,291.56113022173173,0.21686341504457476,269.2920227050781,59282,0.6754244046940868,0.9917607006332132,0.8907462024788952
