file,dice,assd,medsam_dice,medsam_assd,sam_dice,sam_assd,dino_medsam_dice,dino_medsam_assd,dino_sam_dice,dino_sam_assd,area,box_ratio,convex_ratio,IRI
Part_3_2367_pathology_prostate_connective+tissue+cells.png,0.43576624636275463,114.70319386962016,0.20897074579802777,202.8892059326172,0.1654059282627731,165.30029648209637,0.12054483156020401,72.43084166442067,0.10975247021952671,182.35606460245168,60768,0.09410759002615648,0.18832688201367948,0.12214267202854423
Part_3_2393_pathology_skin_connective+tissue+cells.png,0.6458396195238301,42.20603393687469,0.24170977645734237,70.7470706704994,0.2426196668156564,95.20256487747658,0.26289870059418363,87.26303249324151,0.24035599528968998,104.81021561781394,143040,0.13668039777206364,0.1498401976918492,0.12462539188881873
Part_3_2407_pathology_skin_connective+tissue+cells.png,0.5636282094405203,177.95464417815015,0.08633192223267482,130.78761744038553,0.017548477669562166,146.29694407982663,0.02585966899881655,271.95460407695805,0.02291734539482745,341.7818603515625,12064,0.07318922788519289,0.10916362780849312,0.013810593627510826
Part_3_2409_pathology_skin_connective+tissue+cells.png,0.3669220422246915,384.4607787542377,0.8312140275732833,4.997549655486126,0.8668231152830742,3.495455688529915,0.006081047529192466,417.78021240234375,0.0061155618384331565,546.6629638671875,3184,0.6738624338624338,0.9462109955423477,0.9319843700964293
Part_3_2412_pathology_stomach_connective+tissue+cells.png,0.7988262974772663,21.44517058009948,0.09093030656624589,62.708845282417045,0.10561767009421394,114.1809001556571,0.10864189957791368,339.56356365148474,0.10962055405912019,143.041427285534,60256,0.06091134516260446,0.07378806748394887,0.061551943441805
Part_3_2420_pathology_stomach_connective+tissue+cells.png,0.23150214288244253,103.16325777165177,0.04593286760379318,304.6122164732133,0.08451602155009005,201.1443993024786,0.06687416819255573,176.8628037493032,0.06551286504022041,243.4331559250755,35248,0.04029885727678597,0.0933195309666334,0.025357926735099248
Part_3_2423_pathology_stomach_connective+tissue+cells.png,0.6528492268616586,76.00438070809892,0.48587976398765653,37.742422684138575,0.2974818922069934,46.82605685301945,0.1389579028558484,195.96028854534023,0.13588396892870794,208.19226800125415,75776,0.20527212588954596,0.2916020487876211,0.13532448210054918
Part_3_2157_pathology_kidney_connective+tissue+cells.png,0.5679531129050094,94.83514243356787,0.04061510390624315,185.53937803882584,0.07433428836268643,227.1329497654738,0.06181593739251707,242.5758514404297,0.06118714120411479,197.4360785573926,32800,0.0395555786028439,0.06733827010447697,0.037126200680971534
Part_3_2161_pathology_kidney_connective+tissue+cells.png,0.31894479648795215,297.71713949165553,0.5416375879434898,24.01280467805384,0.5312197092084007,31.52330083896092,0.025718936409038086,200.3677576911563,0.026815563052875312,492.3160708863721,14560,0.23347925786950177,0.3950402908538405,0.14664442078980763
Part_3_2170_pathology_liver_connective+tissue+cells.png,0.6916931282700327,181.9139332725931,0.22292144534096123,87.7541611008645,0.2856023536460774,62.6818429738069,0.06082734572293066,430.0735168457031,0.057946750116578925,340.2182963634338,31120,0.12813703086076628,0.19307007475881752,0.06030554483161143
Part_3_2171_pathology_liver_connective+tissue+cells.png,0.059026525882049964,328.1917242145186,0.35854510720659577,35.84258035858696,0.30592449896921153,33.975930867046635,0.028093375432769765,677.8358764648438,0.02783613096385119,415.30642776044226,14752,0.17714374917444192,0.2558046784234164,0.12249739839618308
Part_3_2178_pathology_liver_connective+tissue+cells.png,0.855156174790878,12.411130712563814,0.17631157119006585,98.36988931834532,0.1475946215538675,149.57375438334344,0.13154928682376293,297.1810893877231,0.1264379131304939,178.77146160820527,70384,0.10293534804882935,0.12925666034315894,0.08678611754539209
Part_3_2190_pathology_liver_connective+tissue+cells.png,0.3510233157072796,144.21079779865383,0.16116772125893664,99.55846387123475,0.29204634164876236,101.238681801132,0.05484177482540981,534.5174560546875,0.05407922786796917,313.84918346908256,28896,0.0833908107343736,0.11440833989919587,0.04426015199665213
Part_3_2193_pathology_liver_connective+tissue+cells.png,0.30179841070681723,326.24836020903626,0.29000524069776146,117.10773950181299,0.148721203492461,139.79993090289443,0.018509254150622104,407.5647277832031,0.01853518239844726,345.13067626953125,9712,0.04794699763523354,0.17223217294153115,0.017826933190264228
Part_3_2196_pathology_liver_connective+tissue+cells.png,0.22196702485440079,303.6530482209828,0.00898877513747248,220.9930667151175,0.009751391854147893,263.13445886571105,0.021022457659601926,387.6732177734375,0.02065789837542183,364.326904296875,10832,0.022453231072187385,0.11595319909652418,0.010675229837354958
Part_3_2212_pathology_liver_connective+tissue+cells.png,0.6626663687721426,20.10842158347244,0.22383161706461469,68.95933709777792,0.24153342975906597,59.20711603460805,0.0640057891220406,191.47532689373517,0.06249182557744121,230.85080098403824,33456,0.11462519657522278,0.15134558055162242,0.03390145957452319
Part_3_2217_pathology_liver_connective+tissue+cells.png,0.8105346912794399,13.028340747459877,0.10984835466144252,75.27519614023149,0.11437963814780742,63.12945961288879,0.11158815309020421,327.3373778604194,0.11264119280849469,209.6772003173828,61888,0.08233893231332114,0.11065952634261039,0.09157812110099761
Part_3_2219_pathology_liver_connective+tissue+cells.png,0.7022067998431354,28.51495324235576,0.07678956832053599,398.10151569797347,0.0765778116933876,134.57702051379445,0.07481107894605915,121.32360915528199,0.07805763894357944,161.89517229609618,43136,0.041218160222984745,0.06006452592106784,0.05876848075979615
Part_3_2226_pathology_liver_connective+tissue+cells.png,0.0,0.0,0.8842511721982165,6.286038773310812,0.7574693877551021,12.746175650565009,0.019492156349222696,763.883544921875,0.018978492569813196,589.8898315429688,9936,0.7549578299521313,0.9597218197623877,0.9430217728509691
Part_3_2230_pathology_liver_connective+tissue+cells.png,0.23305289623827483,409.38602560835466,0.34245841335589017,55.89320927866909,0.24204112535903569,62.26402765901813,0.11818914564620148,192.45373584569273,0.11214434319798286,263.1869652491956,62176,0.15454172621636736,0.24121195662716038,0.15770982855365007
Part_3_2233_pathology_liver_connective+tissue+cells.png,0.8759025135564277,6.9098016952046954,0.20045703297075668,112.30991522904772,0.215831113159396,98.94681007158846,0.2448959564988585,87.96789796329622,0.2167944176060118,151.2349217602759,127360,0.13091122890654794,0.1361566742534956,0.12580153094173027
